assay_id,image_id,gene,gene name
3364,37_D9_1,ENSG00000138326,RPS24
3364,37_D9_2,ENSG00000138326,RPS24
73508,1819_G5_39,ENSG00000138326,RPS24
73508,1819_G5_41,ENSG00000138326,RPS24
34749,398_C6_1,ENSG00000162444,RBP7
34749,398_C6_2,ENSG00000162444,RBP7
12636,94_A2_1,ENSG00000106268,NUDT1
12636,94_A2_2,ENSG00000106268,NUDT1
29213,273_A10_1,ENSG00000027697,IFNGR1
29213,273_A10_2,ENSG00000027697,IFNGR1
1400,31_C2_1,ENSG00000106348,IMPDH1
1400,31_C2_2,ENSG00000106348,IMPDH1
17368,641_A8_1,ENSG00000155660,PDIA4
17368,641_A8_2,ENSG00000155660,PDIA4
67113,1237_H5_1,ENSG00000117475,BLZF1
67113,1237_H5_2,ENSG00000117475,BLZF1
2945,55_D12_1,ENSG00000100104,SRRD
2945,55_D12_2,ENSG00000100104,SRRD
41884,509_H7_1,ENSG00000130876,SLC7A10
41884,509_H7_2,ENSG00000130876,SLC7A10
43028,584_F3_2,ENSG00000168906,MAT2A
43028,584_F3_3,ENSG00000168906,MAT2A
40070,416_G10_2,ENSG00000111011,RSRC2
40070,416_G10_3,ENSG00000111011,RSRC2
31916,950_E1_1,ENSG00000175029,CTBP2
31916,950_E1_2,ENSG00000175029,CTBP2
23252,215_F2_1,ENSG00000123119,NECAB1
23252,215_F2_2,ENSG00000123119,NECAB1
25963,399_A9_1,ENSG00000123119,NECAB1
25963,399_A9_2,ENSG00000123119,NECAB1
30843,1625_D5_1,ENSG00000196793,ZNF239
30843,1625_D5_2,ENSG00000196793,ZNF239
4705,31_H5_1,ENSG00000186376,ZNF75D
4705,31_H5_2,ENSG00000186376,ZNF75D
24198,277_F6_1,ENSG00000156172,CFAP418
24198,277_F6_2,ENSG00000156172,CFAP418
24841,258_B10_1,ENSG00000167447,SMG8
24841,258_B10_2,ENSG00000167447,SMG8
23004,189_A2_1,ENSG00000125319,HROB
23004,189_A2_2,ENSG00000125319,HROB
34736,605_E4_1,ENSG00000179021,C3orf38
34736,605_E4_2,ENSG00000179021,C3orf38
34726,397_B12_1,ENSG00000144362,PHOSPHO2
34726,397_B12_2,ENSG00000144362,PHOSPHO2
6738,68_E5_1,ENSG00000136807,CDK9
6738,68_E5_2,ENSG00000136807,CDK9
50530,790_F9_1,ENSG00000112186,CAP2
50530,790_F9_2,ENSG00000112186,CAP2
54476,880_D1_2,ENSG00000184216,IRAK1
54476,880_D1_3,ENSG00000184216,IRAK1
31251,323_E6_4,ENSG00000187961,KLHL17
31251,323_E6_5,ENSG00000187961,KLHL17
35121,383_D5_6,ENSG00000115616,SLC9A2
35121,383_D5_7,ENSG00000115616,SLC9A2
24122,195_C4_1,ENSG00000006652,IFRD1
24122,195_C4_2,ENSG00000006652,IFRD1
55200,879_D7_2,ENSG00000127507,ADGRE2
55200,879_D7_3,ENSG00000127507,ADGRE2
28700,277_C10_1,ENSG00000143256,PFDN2
28700,277_C10_2,ENSG00000143256,PFDN2
58304,976_D11_1,ENSG00000143256,PFDN2
58304,976_D11_2,ENSG00000143256,PFDN2
28977,340_C2_1,ENSG00000196152,ZNF79
28977,340_C2_2,ENSG00000196152,ZNF79
37896,450_G1_1,ENSG00000037474,NSUN2
37896,450_G1_2,ENSG00000037474,NSUN2
36162,396_E6_1,ENSG00000158411,MITD1
36162,396_E6_2,ENSG00000158411,MITD1
36163,594_E9_1,ENSG00000158411,MITD1
36163,594_E9_2,ENSG00000158411,MITD1
53770,879_C12_1,ENSG00000122194,PLG
53770,879_C12_2,ENSG00000122194,PLG
17292,166_A9_1,ENSG00000176597,B3GNT5
17292,166_A9_2,ENSG00000176597,B3GNT5
41722,485_H1_1,ENSG00000105254,TBCB
