assay_id,image_id,gene,gene name
41082,733_D4_2,ENSG00000126602,TRAP1
41082,733_D4_3,ENSG00000126602,TRAP1
44227,747_G1_1,ENSG00000126602,TRAP1
44227,747_G1_2,ENSG00000126602,TRAP1
3364,36_D9_1,ENSG00000138326,RPS24
3364,36_D9_2,ENSG00000138326,RPS24
73508,1833_D9_1,ENSG00000138326,RPS24
73508,1833_D9_2,ENSG00000138326,RPS24
12636,95_A2_1,ENSG00000106268,NUDT1
12636,95_A2_2,ENSG00000106268,NUDT1
1400,973_A2_5,ENSG00000106348,IMPDH1
1400,973_A2_6,ENSG00000106348,IMPDH1
17368,640_A8_1,ENSG00000155660,PDIA4
17368,640_A8_3,ENSG00000155660,PDIA4
54567,863_H6_2,ENSG00000186448,ZNF197
54567,863_H6_3,ENSG00000186448,ZNF197
54356,877_D8_1,ENSG00000172667,ZMAT3
54356,877_D8_2,ENSG00000172667,ZMAT3
47250,812_A9_1,ENSG00000152749,GPR180
47250,812_A9_2,ENSG00000152749,GPR180
24433,1685_G1_2,ENSG00000181284,TMEM102
24433,1685_G1_3,ENSG00000181284,TMEM102
2945,54_D12_1,ENSG00000100104,SRRD
2945,54_D12_2,ENSG00000100104,SRRD
40070,415_G10_1,ENSG00000111011,RSRC2
40070,415_G10_2,ENSG00000111011,RSRC2
48183,800_A11_1,ENSG00000111011,RSRC2
48183,800_A11_2,ENSG00000111011,RSRC2
24638,972_E1_3,ENSG00000058085,LAMC2
24638,972_E1_4,ENSG00000058085,LAMC2
46539,844_H11_9,ENSG00000058085,LAMC2
46539,844_H11_12,ENSG00000058085,LAMC2
46540,844_A12_2,ENSG00000058085,LAMC2
46540,844_A12_4,ENSG00000058085,LAMC2
23252,216_F2_1,ENSG00000123119,NECAB1
23252,216_F2_2,ENSG00000123119,NECAB1
25963,394_A9_1,ENSG00000123119,NECAB1
25963,394_A9_2,ENSG00000123119,NECAB1
75390,1551_A2_1,ENSG00000029364,SLC39A9
75390,1551_A2_3,ENSG00000029364,SLC39A9
4705,30_H5_1,ENSG00000186376,ZNF75D
4705,30_H5_2,ENSG00000186376,ZNF75D
24198,263_F6_1,ENSG00000156172,CFAP418
24198,263_F6_2,ENSG00000156172,CFAP418
