assay_id,image_id,gene,gene name
14255,1729_H2_2,ENSG00000267534,S1PR2
14255,1729_H2_3,ENSG00000267534,S1PR2
75639,1909_A9_2,ENSG00000172201,ID4
75639,1909_A9_3,ENSG00000172201,ID4
47250,715_A9_5,ENSG00000152749,GPR180
47250,715_A9_7,ENSG00000152749,GPR180
26731,1729_C7_2,ENSG00000121310,ECHDC2
26731,1729_C7_3,ENSG00000121310,ECHDC2
24433,1729_F1_2,ENSG00000181284,TMEM102
24433,1729_F1_3,ENSG00000181284,TMEM102
34511,1469_D9_1,ENSG00000188996,HUS1B
34511,1469_D9_3,ENSG00000188996,HUS1B
63449,1469_A11_1,ENSG00000188996,HUS1B
63449,1469_A11_3,ENSG00000188996,HUS1B
47238,1729_B4_1,ENSG00000171421,MRPL36
47238,1729_B4_4,ENSG00000171421,MRPL36
66743,1947_B2_1,ENSG00000230778,ANKRD63
66743,1947_B2_2,ENSG00000230778,ANKRD63
54814,1581_G2_4,ENSG00000180440,SERTM1
54814,1581_G2_5,ENSG00000180440,SERTM1
70485,1581_G12_1,ENSG00000180440,SERTM1
70485,1581_G12_2,ENSG00000180440,SERTM1
62034,1307_F8_3,ENSG00000100401,RANGAP1
62034,1307_F8_4,ENSG00000100401,RANGAP1
39935,1909_F7_3,ENSG00000140365,COMMD4
39935,1909_F7_4,ENSG00000140365,COMMD4
51394,865_C11_1,ENSG00000162062,TEDC2
51394,865_C11_2,ENSG00000162062,TEDC2
48185,715_A8_1,ENSG00000110660,SLC35F2
48185,715_A8_2,ENSG00000110660,SLC35F2
49476,732_A4_1,ENSG00000131148,EMC8
49476,732_A4_2,ENSG00000131148,EMC8
35747,1182_E8_1,ENSG00000171757,LRRC34
35747,1182_E8_2,ENSG00000171757,LRRC34
19762,1039_C2_1,ENSG00000110987,BCL7A
19762,1039_C2_2,ENSG00000110987,BCL7A
73098,1578_D8_5,ENSG00000065675,PRKCQ
73098,1578_D8_6,ENSG00000065675,PRKCQ
46767,765_G6_1,ENSG00000183617,MRPL54
46767,765_G6_2,ENSG00000183617,MRPL54
60243,1482_D8_1,ENSG00000140396,NCOA2
60243,1482_D8_2,ENSG00000140396,NCOA2
42485,866_E2_1,ENSG00000011243,AKAP8L
42485,866_E2_2,ENSG00000011243,AKAP8L
50459,732_B5_1,ENSG00000108107,RPL28
50459,732_B5_2,ENSG00000108107,RPL28
34625,2118_G1_1,ENSG00000171004,HS6ST2
34625,2118_G1_2,ENSG00000171004,HS6ST2
56111,1124_E4_1,ENSG00000152270,PDE3B
56111,1124_E4_2,ENSG00000152270,PDE3B
51195,732_D11_1,ENSG00000136827,TOR1A
51195,732_D11_2,ENSG00000136827,TOR1A
59156,1043_F5_1,ENSG00000070495,JMJD6
59156,1043_F5_2,ENSG00000070495,JMJD6
56430,1475_G11_1,ENSG00000198576,ARC
56430,1475_G11_4,ENSG00000198576,ARC
71287,1581_B12_2,ENSG00000100124,ANKRD54
71287,1581_B12_3,ENSG00000100124,ANKRD54
45288,715_H3_1,ENSG00000158195,WASF2
45288,715_H3_2,ENSG00000158195,WASF2
67381,1284_F6_1,ENSG00000177479,ARIH2
67381,1284_F6_3,ENSG00000177479,ARIH2
62415,1127_D12_1,ENSG00000236444,UBE2L5
62415,1127_D12_2,ENSG00000236444,UBE2L5
30136,1482_G7_2,ENSG00000143450,OAZ3
30136,1482_G7_3,ENSG00000143450,OAZ3
50406,765_B12_1,ENSG00000214026,MRPL23
50406,765_B12_3,ENSG00000214026,MRPL23
59578,1039_B11_3,ENSG00000182118,FAM89A
59578,1039_B11_5,ENSG00000182118,FAM89A
68764,1581_H8_4,ENSG00000253251,SHLD3
68764,1581_H8_5,ENSG00000253251,SHLD3
46330,1820_G6_2,ENSG00000204524,ZNF805
46330,1820_G6_3,ENSG00000204524,ZNF805
39858,1036_B10_1,ENSG00000185049,NELFA
39858,1036_B10_2,ENSG00000185049,NELFA
71568,2031_A2_1,ENSG00000127663,KDM4B
71568,2031_A2_2,ENSG00000127663,KDM4B
32113,1182_B5_2,ENSG00000100225,FBXO7
32113,1182_B5_3,ENSG00000100225,FBXO7
61414,1307_A3_2,ENSG00000007541,PIGQ
61414,1307_A3_3,ENSG00000007541,PIGQ
27577,1281_G12_1,ENSG00000187147,RNF220
27577,1281_G12_3,ENSG00000187147,RNF220
63852,1265_F2_4,ENSG00000131697,NPHP4
63852,1265_F2_5,ENSG00000131697,NPHP4
56308,1124_G4_1,ENSG00000183337,BCOR
56308,1124_G4_2,ENSG00000183337,BCOR
73591,1693_A12_2,ENSG00000183337,BCOR
73591,1693_A12_3,ENSG00000183337,BCOR
61568,1564_H10_1,ENSG00000173093,CCDC63
61568,1564_H10_2,ENSG00000173093,CCDC63
42125,805_D1_1,ENSG00000173480,ZNF417
42125,805_D1_2,ENSG00000173480,ZNF417
51831,1153_G1_2,ENSG00000128652,HOXD3
51831,1153_G1_3,ENSG00000128652,HOXD3
63671,1273_F9_2,ENSG00000128652,HOXD3
63671,1273_F9_6,ENSG00000128652,HOXD3
60238,1272_G7_1,ENSG00000235034,C19orf81
60238,1272_G7_3,ENSG00000235034,C19orf81
49829,805_H8_1,ENSG00000103449,SALL1
49829,805_H8_2,ENSG00000103449,SALL1
55134,1040_E9_1,ENSG00000205269,TMEM170B
55134,1040_E9_2,ENSG00000205269,TMEM170B
28707,1308_C4_4,ENSG00000125651,GTF2F1
28707,1308_C4_5,ENSG00000125651,GTF2F1
43590,1036_E9_1,ENSG00000204673,AKT1S1
43590,1036_E9_2,ENSG00000204673,AKT1S1
54508,1472_D6_4,ENSG00000100983,GSS
54508,1472_D6_5,ENSG00000100983,GSS
48671,716_D7_1,ENSG00000273703,H2BC14
48671,716_D7_2,ENSG00000273703,H2BC14
19536,1035_E12_1,ENSG00000196405,EVL
19536,1035_E12_2,ENSG00000196405,EVL
67049,1288_B2_1,ENSG00000186951,PPARA
67049,1288_B2_2,ENSG00000186951,PPARA
60221,1466_E5_2,ENSG00000125878,TCF15
60221,1466_E5_4,ENSG00000125878,TCF15
70376,1569_D11_1,ENSG00000034053,APBA2
70376,1569_D11_2,ENSG00000034053,APBA2
59640,1039_F11_1,ENSG00000169740,ZNF32
59640,1039_F11_2,ENSG00000169740,ZNF32
62015,1127_C2_2,ENSG00000172943,PHF8
62015,1127_C2_6,ENSG00000172943,PHF8
62062,1127_H5_1,ENSG00000172716,SLFN11
62062,1127_H5_2,ENSG00000172716,SLFN11
35940,1040_B10_1,ENSG00000130997,POLN
35940,1040_B10_2,ENSG00000130997,POLN
74788,1466_E12_3,ENSG00000168702,LRP1B
74788,1466_E12_4,ENSG00000168702,LRP1B
75789,1693_C7_3,ENSG00000185737,NRG3
75789,1693_C7_4,ENSG00000185737,NRG3
37708,716_G2_1,ENSG00000178999,AURKB
37708,716_G2_2,ENSG00000178999,AURKB
62209,1581_A7_4,ENSG00000178201,VN1R1
62209,1581_A7_5,ENSG00000178201,VN1R1
58513,1308_E5_4,ENSG00000183762,KREMEN1
